Name,Fecha,Lote,Formula,FechaNacimiento,GramosAlimentoPruebas,Litros de agua,FechaCambioBebedero,Tazas de alimento,FechaCreacionDeRegistro,Edad,Tazas de hidrogel
"PB36222-01, PB36222-03, GMX00223-01, GMX36422-02-2023-01-27T15:00:00.000Z",27/1/2023 9:00am,"PB36222-01,PB36222-03,GMX00223-01,GMX36422-02",,"28/12/2022, 28/12/2022, 2/1/2023, 30/12/2022",,2,,,27/1/2023 9:00am,NaN,
PB36222-02-2022-12-28T23:06:00.000Z,28/12/2022 5:06pm,PB36222-02,DDG 2,28/12/2022,60.0,,,,9/1/2023 4:34pm,0,
PB36222-02-2023-01-17T14:17:00.000Z,17/1/2023 8:17am,PB36222-02,DDG 2,28/12/2022,,,,1,17/1/2023 8:17am,20,
PB36222-02-2023-01-20T14:33:00.000Z,20/1/2023 8:33am,PB36222-02,DDG 2,28/12/2022,,,,1,20/1/2023 8:33am,23,
PB36222-02-2023-01-23T14:40:00.000Z,23/1/2023 8:40am,PB36222-02,DDG 2,28/12/2022,,,,1,23/1/2023 8:40am,26,
PB36222-02-2023-01-25T14:15:00.000Z,25/1/2023 8:15am,PB36222-02,DDG 2,28/12/2022,,,,1,25/1/2023 8:15am,28,
PB36222-02-2023-01-26T14:31:00.000Z,26/1/2023 8:31am,PB36222-02,DDG 2,28/12/2022,,,,1,26/1/2023 8:31am,29,
PB36222-02-2023-01-27T14:44:00.000Z,27/1/2023 8:44am,PB36222-02,DDG 2,28/12/2022,,,,1,27/1/2023 8:44am,30,
PB36222-02-2023-01-31T18:31:00.000Z,31/1/2023 12:31pm,PB36222-02,DDG 2,28/12/2022,,,,1,31/1/2023 12:31pm,34,
"PB36222-02, PB01323-01-2023-01-30T14:16:00.000Z",30/1/2023 8:16am,"PB36222-02,PB01323-01",DDG 2,"28/12/2022, 13/1/2023",,,,1,30/1/2023 8:16am,NaN,
"PB36222-02, PB33622-04, PB34222-03-2023-01-12T15:10:00.000Z",12/1/2023 9:10am,"PB36222-02,PB33622-04,PB34222-03",DDG 2,"28/12/2022, 2/12/2022, 8/12/2022",,,,1,12/1/2023 9:10am,NaN,
PB36222-03-2022-12-28T23:07:00.000Z,28/12/2022 5:07pm,PB36222-03,DDG 2,28/12/2022,60.0,,,,9/1/2023 4:34pm,0,
PB36222-03-2023-01-31T18:32:00.000Z,31/1/2023 12:32pm,PB36222-03,AJ4,28/12/2022,,,,1,31/1/2023 12:32pm,34,
"PB36222-03, PB35622-05, PB35622-04, PB35022-04, PB34822-04-2023-01-16T15:49:00.000Z",16/1/2023 9:49am,"PB36222-03,PB35622-05,PB35622-04,PB35022-04,PB34822-04",AJ4,"28/12/2022, 22/12/2022, 22/12/2022, 16/12/2022, 14/12/2022",,,,1,16/1/2023 9:50am,NaN,
